Reaction,Presence,Normalised_max_Flux,Normalised_max_biomass
DHNPA2,0.025210084033613446,1.0,0.9999999296891868
DHNPA2r,0.04201680672268908,1.0,0.9999999999865657
HACD3,0.008403361344537815,1.0,0.10819206696627222
RPI,0.05042016806722689,1.0,0.33583101639889373
ACACT3r,0.03361344537815126,0.9962991062008658,0.9917456628906544
E4PD,0.06722689075630252,0.9962991062008658,0.9983294964558816
ECOAH2,0.07563025210084033,0.6821716414442714,0.9917717870052696
GCALDD,0.058823529411764705,0.6821716414442714,0.9999999999866054
ECOAH4,0.058823529411764705,0.6821422808982913,0.9947144897084066
PERD,0.11764705882352941,0.6821422808982913,0.9999993768798766
4HTHRK,0.04201680672268908,0.3505563330613739,0.7706128694359775
PDH,0.01680672268907563,0.3505563330613739,0.9900631795252103
THZPSN,0.2184873949579832,0.34161316767883065,0.9999734406144967
ACOAD2f,0.058823529411764705,0.34161316767883065,0.9917717869997446
ACOAD3f,0.04201680672268908,0.3415846938398968,0.8994411964824315
4HTHRA,0.1092436974789916,0.3415846938398968,0.9999990653273462
TRDR,0.03361344537815126,0.3415846938398968,0.754074804920692
HACD1,0.008403361344537815,0.34158271434003973,0.754074804920692
PGCD,0.025210084033613446,0.34158225784315327,0.8896435812667383
A5PISO,0.12605042016806722,0.3415818114144619,1.0
GLUDy,0.05042016806722689,0.34158179228271524,0.9668358999533715
ECOAH5,0.008403361344537815,0.34158164066444396,0.773764480261429
OHPBAT,0.058823529411764705,0.3415814638887566,0.9999993768820757
THZPSN3,0.008403361344537815,0.34117620367466306,0.2609534472128328
TPI,0.06722689075630252,0.34117620367466306,0.9960699408642509
PYDXNK,0.008403361344537815,0.00021672057510708817,0.3357877232127261
PGM,0.01680672268907563,4.197441656982013e-05,0.9881621609866732
PGL,0.008403361344537815,4.069220873633522e-05,0.9999734400716304
PPM,0.04201680672268908,4.069220873633522e-05,0.9999999988917931
GMHEPK,0.01680672268907563,4.069220873633522e-05,0.9999734400716304
GLYK,0.01680672268907563,4.068751764372225e-05,0.9999734406088723
FBA3,0.01680672268907563,4.068751762523206e-05,0.9999999999921394
ACOAD8f,0.058823529411764705,4.068751759194207e-05,0.9999999999865896
ALCD19,0.058823529411764705,4.068751759194207e-05,0.9999999999866058
KDOCT2,0.008403361344537815,4.06875175618578e-05,0.9999734406089207
NDPK8,0.01680672268907563,4.06875175618578e-05,0.9999999999865942
PTAr,0.04201680672268908,4.068750902379541e-05,0.999999999986564
FESR,0.025210084033613446,4.0686763308106734e-05,0.9999816705773833
ACACT4r,0.03361344537815126,4.04724688991093e-05,0.9947144897028497
ACGAMK,0.008403361344537815,4.04724688991093e-05,0.9946882103392967
MCITD,0.01680672268907563,4.04724688991093e-05,0.9946882103392967
ICL,0.025210084033613446,2.1141680176671947e-05,0.6580599129795489
PYDAMK,0.008403361344537815,2.1141680093118123e-05,0.6580599129795489
AI2K,0.01680672268907563,1.923445015835186e-05,0.9982928573766365
PMANM,0.05042016806722689,1.923445015835186e-05,0.999999999986564
S7PI,0.01680672268907563,5.182214675322377e-06,0.14976359962921776
FUM,0.13445378151260504,5.182214675322377e-06,0.15285846282429952
RPE,0.07563025210084033,5.182214675322377e-06,0.9943626278146301
NNAM,0.008403361344537815,1.3480657306998498e-06,0.10281077598533497
ADPT,0.008403361344537815,7.503653340144089e-07,0.15285805981541545
XAND,0.008403361344537815,8.732814414079654e-08,0.9999999296891868
GMHEPAT,0.04201680672268908,1.1391562890942053e-08,0.9947749585875197
KDOPS,0.008403361344537815,1.1391562890942053e-08,0.15285846177092044
ALCD2x,0.025210084033613446,1.0993321417687654e-08,0.9999999988917931
GAPP,0.008403361344537815,1.0993321417687654e-08,0.9999999988917931
FBA,0.03361344537815126,5.446604342838591e-09,0.9999999999921779
AACPS8,0.008403361344537815,4.309700366297479e-09,0.1493761057464239
CYTK1,0.058823529411764705,4.309700366297479e-09,0.998126488942308
ACACT2r,0.025210084033613446,3.927197224936321e-09,0.991771786999733
NDPK2,0.10084033613445378,2.0063492583119558e-09,0.998330118806392
HXAND,0.008403361344537815,1.8371729385272389e-09,0.1517342619817377
CBMKr,0.03361344537815126,1.8371729385272389e-09,0.9947749586275116
PGI,0.03361344537815126,1.4600843026628413e-09,0.9982928573766365
NDPK6,0.04201680672268908,1.3206812318108836e-09,0.9999999999866009
PPKr,0.058823529411764705,1.2475036437685916e-09,0.9864101688028318
HACD6,0.05042016806722689,1.2475036437685916e-09,0.9966560109784389
O6A4COLIPAt2ex,0.008403361344537815,1.1479861365832143e-09,0.9983301182556966
G6PDH2r,0.08403361344537816,1.1479861365832143e-09,1.0
CYTK2,0.04201680672268908,1.0230721729197687e-09,0.9999999999865731
F6PA,0.03361344537815126,1.0230721729197687e-09,0.9999999999865731
URIDK2r,0.03361344537815126,1.0230721729197687e-09,0.9998903250171808
CBMD,0.008403361344537815,9.357034860231752e-10,0.8896435812667383
MALS,0.01680672268907563,9.357034860231752e-10,0.8994411964824315
DSERDHr,0.01680672268907563,7.761167515762172e-10,0.9999993768764949
ENO,0.03361344537815126,7.761167515762172e-10,0.9881621609866756
MMM,0.01680672268907563,7.761167515762172e-10,0.9881621602761288
3AMACHYD,0.008403361344537815,6.981304137330959e-10,0.991771786999733
DHBS,0.008403361344537815,6.917781925488691e-10,0.1528584627228206
URACPAH,0.008403361344537815,6.630929820533401e-10,0.9998903250171569
BTDD_RR,0.01680672268907563,3.7810945595075075e-10,1.0
NTPTP2,0.008403361344537815,3.7810945595075075e-10,1.0
DHBD,0.07563025210084033,2.169066533068618e-10,0.9999999999865337
GMHEPPA,0.008403361344537815,1.88372949204795e-10,0.14976359962921776
GGGABADr,0.058823529411764705,1.3247498097519855e-10,0.9999999999921779
PUNP3,0.008403361344537815,1.3237890856163586e-10,0.9881621609866756
VALTA,0.008403361344537815,1.3237890856163586e-10,0.9881621609866756
SULRi,0.008403361344537815,1.2140712329445768e-10,0.10281150690133567
DADK,0.058823529411764705,1.1439788122035315e-10,0.9999999999921779
TMDPP,0.008403361344537815,1.0209005812801424e-10,0.15109028760353052
NDPK4,0.008403361344537815,6.85851436489465e-11,0.1528348160096718
GPDDA4pp,0.008403361344537815,6.63873108052717e-11,0.9943626278146301
G3PD2,0.025210084033613446,5.7599651489819096e-11,0.9994176611790603
ACALD,0.03361344537815126,5.69078012491068e-11,0.9999999999921779
AGMHE,0.008403361344537815,4.8467940820524343e-11,0.32670450298827375
PAI2I,0.008403361344537815,4.473155330861049e-11,0.15285468422175733
FACOAE100,0.008403361344537815,4.4555077991640495e-11,0.9999816705773833
ACACT7r,0.04201680672268908,0.0,0.9988360002026275
AHGDx,0.008403361344537815,0.0,0.998330118806392
TRSARr,0.008403361344537815,0.0,0.9999999999865787
ACACT1r,0.025210084033613446,0.0,0.991771786999705
ACOAD1f,0.008403361344537815,0.0,0.9999999999866012
5DGLCNR,0.025210084033613446,0.0,0.9999999999865735
ACOATA,0.03361344537815126,0.0,0.9999999999921779
LSERDHr,0.01680672268907563,0.0,0.9999999999865595
ALDD19xr,0.025210084033613446,0.0,0.9999999999865337
PUNP5,0.008403361344537815,0.0,0.9999999999866054
NADPHXE,0.01680672268907563,0.0,0.999999999992165
PPK2r,0.008403361344537815,0.0,0.999999999986556
ECOAH1,0.04201680672268908,0.0,0.9917717869997086
ECOAH6,0.008403361344537815,0.0,0.9966560109784537
HACD2,0.008403361344537815,0.0,0.9917717869996938
ICHORS_copy2,0.04201680672268908,0.0,0.9999999999865595
IDOND,0.07563025210084033,0.0,0.9999999999865595
LDH_D,0.01680672268907563,0.0,0.9999993768820757
PPM2,0.05042016806722689,0.0,0.9966560109784389
HACD4,0.008403361344537815,-6.871051672255164e-13,0.9947144897032658
ACACT8r,0.008403361344537815,-5.169169307151939e-12,0.9999999999899276
CTECOAI7,0.008403361344537815,-8.530125590247295e-12,0.9993699379758636
ACACT6r,0.008403361344537815,-8.602130581931852e-12,0.9966560109840363
